Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
ARL2BP	1	autosomal recessive	Retinitis pigmentosa with or without situs inversus OMIM:615434,ORPHA:791						
ARL3	1	autsomal recessive and dominant	ORPHA:791,ORPHA:475,OMIM:618161,OMIM:618173	JOUBERT SYNDROME 35; JBTS35 might not be severe enough					
ARL6	1	BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 3, 209900{Bardet-Biedl syndrome 1, modifier of}, 209900Retinitis pigmentosa 55, 613575;BARDET-BIEDL SYNDROME TYPE 3 (BBS3)	different syndromes, eligibility depends on phenotype of patient					
ARSA	1	BIALLELIC, autosomal or pseudoautosomal	"Metachromatic leukodystrophy (Arylsulfatase A Deficiency)	250100"	severe, progressive disorder					
ARSG	1	autosomal recessive	Usher syndrome, type IV OMIM:618144,ORPHA:231183						
ARSI	1	autosomal recessive	Autosomal recessive spastic paraplegia type 66 ORPHA:401815						
ARV1	1	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 38 617020	DEE, progressive					
ARX	1	X-linked recessive	Developmental and epileptic encephalopathy 1						
ASAH1	1	BIALLELIC, autosomal or pseudoautosomal	Spinal muscular atrophy with progressive myoclonic epilepsy, OMIM:159950						
ASNS	1	BIALLELIC, autosomal or pseudoautosomal	Asparagine synthetase deficiency OMIM:615574	progressive, CAVE: death usually in infancy					
ASPA	1	BIALLELIC, autosomal or pseudoautosomal	25655951;General Leukodystrophy & Mitochondrial Leukoencephalopathy						
ATAD1	1	BIALLELIC, autosomal or pseudoautosomal	Hyperekplexia 4, OMIM:618011	progressive disorder, severe phenotype, death early childhood, CAVE: extraneuronal phenotype with respiratory insufficiency					
ATG7	1	autosomal recessive	OMIM:619422	cognitive decline					
ATM	1	BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900						
ATP13A2	1	BIALLELIC, autosomal or pseudoautosomal	"Kufor-Rakeb syndrome	606693"						
ATP1A2	1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"familial hemiplegic migraine type 2, 602481;familial basilar migraine 	602481;alternating hemiplegia of childhood 104290"	Alternating hemiplegia of childhood 1					
ATP2B2	1	autosomal dominant and autosomal recessive	DEAFNESS, AUTOSOMAL DOMINANT 82; DFNA82, DEAFNESS, AUTOSOMAL RECESSIVE 12; DFNB12	progressive disorder (deafness - is this caused by neuronal damage?), ataxia phenotype					
ATP5F1A	1	autosomal dominant and recessive	OMIM:616045,OMIM:615228	multiple disorders associated with variants in this gene, progressive disorders					
ATP5MC3	1	autosomal dominant	OMIM:619681 Dystonia, early-onset, and/or spastic paraplegia	progressive					
ATP5PO	1	autosomal recessive	"	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 7"	progressive, death in infancy or early childhood					
ATP6AP2	1	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mental retardation, X-linked, syndromic, Hedera type 	neurodegeneration, progressive disorder					
ATP6V0A1	1	autosomal dominant and recessive	Developmental disorder;Rett syndrome-like						
ATP6V1A	1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Epileptic encephalopathy, infantile or early childhood, 3 618012;Cutis laxa, autosomal recessive, type IID 617403						
ATP7A	1	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Menkes disease, OMIM:309400;Occipital horn syndrome, OMIM:304150;Spinal muscular atrophy, distal, X-linked 3, OMIM:300489						
AUH	1	BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type I, 250950;3-METHYLGLUTACONIC ACIDURIA TYPE 1	progressive					
BAG3	1	autosomal dominant	OMIM:613881,ORPHA:154,OMIM:612954	rapdily progressive					
