Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
NDUFAF3	2	BIALLELIC, autosomal or pseudoautosomal	"Mitochondrial complex I deficiency	252010 ORPHA:2609,ORPHA:70474,OMIM:618240"	progressive?					
NDUFAF6	2	BIALLELIC, autosomal or pseudoautosomal	"Leigh syndrome due to mitochondrial complex I deficiency	256000 ORPHA:255241,OMIM:618239,OMIM:618913,ORPHA:3337"						
NECAP1	2	autosomal recessive	Developmental and epileptic encephalopathy 21 OMIM:615833,ORPHA:442835	progressive?					
NEFH	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Charcot-Marie-Tooth disease, axonal, type 2CC, susceptibility to amyotrophic lateral sclerosis (ALS)  OMIM:616924,ORPHA:803,OMIM:105400	how progressive?					
NEUROD2	2	autosomal dominant	Developmental and epileptic encephalopathy 72 ORPHA:1934,OMIM:618374	progressive?					
NIPA1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic paraplegia 6, autosomal dominant ;Spasticparaplegia6,autosomaldominant,OMIM:600363,ORPHA:261183,ORPHA:100988	phenotype less severe					
NPR2	2	autosomal dominant	ORPHA:40,OMIM:615923,OMIM:602875,OMIM:616255	progressive?					
NRXN1	2	autosomal recessive	Pitt-Hopkins-like syndrome 2 OMIM:614325	progressive?					
NSUN2	2	autosomal recessive	Mental retardation, autosomal recessive 5 ORPHA:88616,OMIM:611091,ORPHA:235	progressive microcephaly					
NT5C2	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 45, autosomal recessive, ORPHA:320396,OMIM:613162						
NTRK2	2	autosomal dominant	Developmental and epileptic encephalopathy 58 ORPHA:442835,OMIM:617830,OMIM:613886,ORPHA:3451	progressive?					
OCLN	2	BIALLELIC, autosomal or pseudoautosomal	Band-like calcification with simplified gyration and polymicrogyria;Band-like calcification with simplified gyration and polymicrogyria, 251290;Severe developmental delay with microcephaly OMIM:251290,ORPHA:1229	progressive? Extraneuronal manifestation					
OPTN	2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Amyotrophic Lateral Sclerosis, Recessive;Glaucoma 1, open angle, E, ORPHA:803,OMIM:613435,OMIM:137760						
PACS2	2	autosomal dominant	Developmental and epileptic encephalopathy 66 OMIM:618067	progressive?					
PAX6	2	BIALLELIC, autosomal or pseudoautosomal	Aniridia, Cerebellar Ataxia, And Mental Retardation  ORPHA:708,ORPHA:2253,OMIM:120430,OMIM:604229,ORPHA:35737,OMIM:136520,OMIM:194072,ORPHA:2334,ORPHA:1065,OMIM:165550,ORPHA:250923,ORPHA:893,ORPHA:137902,OMIM:120200,OMIM:106210,OMIM:148190	progressive?					
PDP1	2	BIALLELIC, autosomal or pseudoautosomal	Pyruvate dehydrogenase phosphatase deficiency, OMIM:608782,ORPHA:79246	progressive?					
PDYN	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 23  OMIM:610245,ORPHA:101108	slowly progressive					
PEX1	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Peroxisome biogenesis disorder 1A,B;Peroxisome biogenesis disorder 1A (Zellweger) ORPHA:912,ORPHA:3220,OMIM:214100,OMIM:601539,ORPHA:772,ORPHA:44,OMIM:234580	progressive?					
PEX12	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;Peroxisome biogenesis disorder 3A,B;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Peroxisome biogenesis disorder 3A (Zellweger);Peroxisome biogenesis disorder 3B ORPHA:912,OMIM:614859,OMIM:266510,ORPHA:772,ORPHA:44	extraneuronal phenotype					
PEX13	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;Peroxisome biogenesis disorder 11A (Zellweger);Peroxisome biogenesis disorder 11B ORPHA:912,ORPHA:772,ORPHA:44,OMIM:614885,OMIM:614883	progressive?					
PEX14	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome;PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER) ORPHA:912,OMIM:614887,ORPHA:772,ORPHA:44	questionable progressive					
PEX2	2	BIALLELIC, autosomal or pseudoautosomal	"Peroxisome biogenesis disorder 5A (Zellweger)	614866;Peroxisome biogenesis disorder 5B	ORPHA:912,OMIM:614866,ORPHA:772,OMIM:614867,ORPHA:44"	slowly progressive					
PEX26	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome-Associated Disorders & Zellweger Syndrome ORPHA:912,ORPHA:772,ORPHA:44,OMIM:614873,OMIM:614872						
PEX3	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome biogenesis disorder 10A (Zellweger) 614882 OMIM:614882,ORPHA:912,OMIM:617370,ORPHA:772,ORPHA:44						
PEX5	2	BIALLELIC, autosomal or pseudoautosomal	"Peroxisome biogenesis disorder 2A (Zellweger)	214110;Peroxisome biogenesis disorder 2B	ORPHA:912,OMIM:214110,OMIM:202370,OMIM:616716,ORPHA:772,ORPHA:44"						
PEX6	2	BIALLELIC, autosomal or pseudoautosomal	Peroxisome biogenesis disorder 4A (Zellweger) 614862;Peroxisome biogenesis disorder 4B ORPHA:912,OMIM:614862,ORPHA:3220,OMIM:616617,ORPHA:95433,OMIM:614863,ORPHA:772,ORPHA:44	death by age 4, extraneuronal manifestation					
PEX7	2	BIALLELIC, autosomal or pseudoautosomal	Rhizomelic chondrodysplasia punctata, type 1 OMIM:266500,OMIM:215100,OMIM:614879,ORPHA:773						
PFN1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic lateral sclerosis 18, ORPHA:803,OMIM:614808						
PGAP2	2	autosomal recessive	Hyperphosphatasia with mental retardation syndrome 3 OMIM:614207,ORPHA:247262	progressive?					
PGK1	2	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Phosphoglycerate kinase 1 deficiency, 300653;PHOSPHOGLYCERATE KINASE 1 DEFICIENCY (PGK1D) OMIM:300653,ORPHA:713	CNS involvement in 50% patients, progressive?					
PHF21A	2	autosomal dominant	Intellectual developmental disorder with behavioral abnormalities and craniofacial dysmorphism with or without seizures ORPHA:52022,OMIM:618725	progressive?					
PHGDH	2	BIALLELIC, autosomal or pseudoautosomal	Neu-Laxova syndrome 1,  256520, Phosphoglycerate dehydrogenase deficiencyOMIM:256520,ORPHA:79351,OMIM:601815	progressive?					
PIGT	2	autosomal recessive	Multiple congenital anomalies-hypotonia-seizures syndrome 3 OMIM:615398,ORPHA:369837,OMIM:615399	extraneuronal phenotype may be too severe					
PINK1	2	BIALLELIC, autosomal or pseudoautosomal	Dystonia OMIM:605909,ORPHA:2828						
PMPCA	2	BIALLELIC, autosomal or pseudoautosomal	Non-progressive cerebellar ataxia   recessive variants identified in 17 patients from four different families. OMIM:213200,ORPHA:1170	can be slowly progressive					
PNPLA6	2	BIALLELIC, autosomal or pseudoautosomal	Autosomal recessive spastic paraplegia 39 (#612020), ataxia seen in some patients;Spinocerebellar ataxia, hypogonadotropic hypogonadism and chorioretinal dystrophy (Boucher-Neuhauser syndrome, #215470);Oliver-McFarlane syndrome (#603197) OMIM:245800,OMIM:612020,ORPHA:1180,OMIM:215470,ORPHA:2377,ORPHA:1173,OMIM:275400,ORPHA:139480	slowly progressive					
POGZ	2	autosomal dominant	White-Sutton syndrome ORPHA:468678,OMIM:616364	progressive?					
POLG	2	BIALLELIC, autosomal or pseudoautosomal	"Mitochondrial DNA depletion syndrome 4A (Alpers type)	203700;Mitochondrial DNA depletion syndrome 4B (MNGIE type)	613662;Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE)	607459 ORPHA:70595,OMIM:203700,ORPHA:94125,OMIM:607459,ORPHA:254886,ORPHA:298,ORPHA:726,OMIM:613662,ORPHA:254892,OMIM:603041,OMIM:157640,OMIM:258450"	depends on allelic disorder, some rapidly progressive or mildly progressive					
POLR1C	2	BIALLELIC, autosomal or pseudoautosomal	"Leukodystrophy, hypomyelinating, 11	OMIM:616494,ORPHA:861,OMIM:248390,ORPHA:88637"	can deteriorate					
POLR3B	2	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism, OMIM:619742,ORPHA:88637,OMIM:607694,OMIM:614381	slowly progressive					
PPP2R5D	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	INTELLECTUAL DISABILITY	progressive? Is the phenotype severe enough?					
PRKCG	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 14  ORPHA:98763,OMIM:605361	slow progression					
PRKN	2	BIALLELIC, autosomal or pseudoautosomal	Dystonia;juvenile parkinsonism/dystonia;Parkinson disease, juvenile, type 2 ORPHA:2828,OMIM:211980,OMIM:600116,OMIM:167000	levo-dopa responsive					
PRKRA	2	BIALLELIC, autosomal or pseudoautosomal	Dystonia;Dystonia 16, 612067;early-Onset Generalized dystonia-parkinsonism (DYT16), non-responsive to levo-dopa OMIM:612067,ORPHA:210571	slowly progressive?					
PRRT2	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Convulsions, familial infantile, with paroxysmal choreoathetosis, 602066;Episodic kinesigenic dyskinesia 1, 128200;Seizures, benign familial infantile, 2, 605751 OMIM:602066,ORPHA:31709,ORPHA:569,OMIM:128200,ORPHA:98811,ORPHA:98809,ORPHA:306,ORPHA:98810,OMIM:605751	progressive?					
QDPR	2	BIALLELIC, autosomal or pseudoautosomal	ORPHA:226,OMIM:261630	matching phenotype but Treatment with BH4 is effective 					
RAB18	2	autosomal recessive	Warburg micro syndrome 3 ORPHA:2510,OMIM:614222	progressive?					
RARS1	2	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 9 OMIM:616140,ORPHA:438114	progressive?					
REEP1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spastic paraplegia 31, autosomal dominant  ?Neuronopathy, distal hereditary motor, type VB, ORPHA:101011,OMIM:614751,OMIM:610250,ORPHA:139536,OMIM:620011						
REEP2	2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	?Spastic paraplegia 72, autosomal recessive, 615625;?Spastic paraplegia 72, autosomal dominant,ORPHA:401849,OMIM:615625	slowly progressive					
REV3L	2	autsomal dominant	Moebius syndrome ORPHA:570	variable phenotype					
RFT1	2	autosomal recessive	Congenital disorder of glycosylation, type In ORPHA:244310,OMIM:612015	progressive?					
RMND1	2	autosomal recessive	Combined oxidative phosphorylation deficiency 11 OMIM:614922	progressive?					
SAMHD1	2	BIALLELIC, autosomal or pseudoautosomal	Aicardi-Goutieres Syndrome;General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:614415,ORPHA:51,OMIM:612952						
SCN3A	2	autosomal dominant	Developmental and epileptic encephalopathy 62 OMIM:617935,ORPHA:442835,OMIM:617938	progressive?					
SDHAF1	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex II deficiency 252011 OMIM:619166,ORPHA:3208	progressive, treatment: Good therapeutic response to treatment with riboflavin					
SERAC1	2	BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome, OMIM:614739;Lesions in the basal ganglia						
SETD2	2	autosomal dominant	Luscan-Lumish syndrome OMIM:616831,ORPHA:821						
SIK1	2	autosomal dominant	Developmental and epileptic encephalopathy 30 ORPHA:1934,ORPHA:1935,OMIM:616341,ORPHA:3451	progressive?					
SLC13A5	2	autosomal recessive	Developmental and epileptic encephalopathy 25, with amelogenesis imperfecta ORPHA:1946,ORPHA:442835,OMIM:615905	progressive?					
SLC17A5	2	BIALLELIC, autosomal or pseudoautosomal	General Leukodystrophy & Mitochondrial Leukoencephalopathy OMIM:604369,OMIM:269920	progressive?					
SLC18A2	2	BIALLELIC, autosomal or pseudoautosomal	Brain Dopamine Serotonin Vesicular Transport Disease (Other disorders of neurotransmitter metabolism);Vesicular monoamine transporter deficiency OMIM:618049,ORPHA:352649						
SLC1A3	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Episodic ataxia, type 6,  ORPHA:209967,ORPHA:2131,OMIM:612656	progressive?					
SLC25A12	2	BIALLELIC, autosomal or pseudoautosomal	"Hypomyelination, global cerebral	612949, Developmental and epileptic encephalopathy 39"						
SLC30A10	2	BIALLELIC, autosomal or pseudoautosomal	Hypermanganesemia with dystonia 1, OMIM:613280;Dystonia/Parkinsonism, Hypermanganesemia, Polycythemia, and Chronic Liver Disease ORPHA:309854,OMIM:613280	progressive but also extraneuronal phenotype					
SLC30A9	2	autosomal recessive	Birk-Landau-Perez syndrome  OMIM:617595	progressive but some patients develop renal insufficiency					
SLC35A2	2	x-linked dominant	Congenital disorder of glycosylation, type Iim OMIM:300896,ORPHA:356961	progressive?					
SLC35A3	2	autosomal recessive	Arthrogryposis, impaired intellectual development, and seizures OMIM:615553,ORPHA:370943						
SLC52A3	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Brown-Vialetto-Van Laere syndrome 1; Fazio-Londe disease  OMIM:211530,OMIM:211500	progressive but also extraneuronal phenotype					
SLC6A8	2	x-linked recessive	Cerebral creatine deficiency syndrome 1 OMIM:300352,ORPHA:52503	additional intestinal problems					
SMARCA2	2	autosomal-dominant	Nicolaides-Baraitser syndrome, Blepharophimosis-impaired intellectual development syndrome OMIM:601358,ORPHA:3051,OMIM:619293,ORPHA:2728	congenital heart defects in some patients					
SMPD4	2	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies, cerebellar hypoplasia, hypomyelination, microcephaly, arthrogryposis, diabetes OMIM:618622	progressive microcephaly					
SPATA5L1	2	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with hearing loss and spasticity, OMIM:619616 OMIM:619615,OMIM:619616	progressive?					
SPG11	2	BIALLELIC, autosomal or pseudoautosomal	Amyotrophic lateral sclerosis 5, juvenile, OMIM:602099, Spastic paraplegia 11, autosomal recessive  ORPHA:2822,ORPHA:300605,OMIM:604360,OMIM:616668,OMIM:602099	slowly progressive					
SPG21	2	BIALLELIC, autosomal or pseudoautosomal	Spastic Paraplegia, Recessive  OMIM:248900,ORPHA:101001						
SPG7	2	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 7 (#607259)   complex forms of the disease. Actually associated with a range of phenotypes including adult-onset ataxia OMIM:607259,ORPHA:99013,ORPHA:35689						
SPR	2	BIALLELIC, autosomal or pseudoautosomal	Dystonia, dopa-responsive, due to sepiapterin reductase deficiency, 612716;Movement disorder, autonomic dysfunction, developmental delay, behavioural difficulties;Dopa-Responsive Dystonia;Sepiapterin reductase deficiency OMIM:612716,ORPHA:70594	Treatment with BH4 is effective					
SPTBN2	2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Spinocerebellar ataxia 5 (AD); Spinocerebellar ataxia, autosomal recessive 14 (AR) OMIM:600224,ORPHA:98766,ORPHA:352403,OMIM:615386	slowly progressive					
SPTLC1	2	autosomal dominant	Neuropathy, hereditary sensory and autonomic, type IA ORPHA:36386,ORPHA:300605,OMIM:162400	different rates of progression					
SRD5A3	2	BIALLELIC, autosomal or pseudoautosomal	Congenital disorder of glycosylation, type Iq, 612379;Kahrizi syndrome, OMIM:612713,ORPHA:324737,OMIM:612379	progressive?					
ST3GAL3	2	autosomal recessive	Developmental and epileptic encephalopathy 15, Intellectual developmental disorder, autosomal recessive 12 OMIM:615006,ORPHA:88616,ORPHA:3451,OMIM:611090	progressive?					
STAG1	2	autosomal dominant	Mental retardation, autosomal dominant 47 OMIM:617635,ORPHA:502434	might not be severe enough					
STRADA	2	autosomal recessive	Polyhydramnios, megalencephaly, and symptomatic epilepsy OMIM:611087,ORPHA:500533	Developmental stagnation after seizure onset					
SUCLA2	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy;Mitochondrial DNA depletion syndrome 5;Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria) ORPHA:1933,OMIM:612073						
SUCLG1	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria) OMIM:245400,ORPHA:17	progressive neurological disorder but also sever muscle involvement					
SYNE1	2	BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 8, OMIM:610743;Autosomal recessive ataxia, Beauce type, MONDO:0012549 OMIM:612998,ORPHA:88644,OMIM:618484,OMIM:610743,ORPHA:98853	slowly progressive					
SYT14	2	autosomal recessive	Spinocerebellar ataxia, autosomal recessive 11 OMIM:614229,ORPHA:284271	slowly progressive					
TACO1	2	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial Leukoencephalopathy ORPHA:255241,OMIM:619052	slowly progressive					
TAF1	2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Dystonia-Parkinsonism, X-linked, 314250;(NB complex mutation) ORPHA:53351,ORPHA:480907,OMIM:314250,OMIM:300966						
TAF2	2	autosomal recessive	Intellectual developmental disorder, autosomal recessive 40 ORPHA:397951,OMIM:615599	progressive?					
TARDBP	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic Lateral Sclerosis, Dominant;Amyotrophic lateral sclerosis 10, with or without FTD, ORPHA:803,OMIM:612069,ORPHA:275872						
TBCK	2	autosomal recessive	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3	CAVE: progressive neurological disorder but severe hypotonia leading to respiratory insufficiency					
TBK1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Amyotrophic lateral sclerosis; fronto-temporal dementia						
TCF4	2	autosomal dominant	Pitt-Hopkins syndrome	progressive?					
TGM6	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 35, OMIM:613908,ORPHA:276193	slowly progressive					
THOC2	2	x-linked recessive	Intellectual developmental disorder, X-linked 12 ORPHA:457240,OMIM:300957						
TMEM106B	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Leukodystrophy, hypomyelinating, 16, OMIM:617964;Leukodystrophy, hypomyelinating, 16, MONDO:0054791 ORPHA:100070,ORPHA:275864,OMIM:617964,ORPHA:100069						
TMEM240	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 21, ORPHA:98773,OMIM:607454	slowly progressive					
TOE1	2	BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 7 ORPHA:284339,OMIM:614969	progressive?					
TOR1A	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Dystonia-1, torsion, OMIM:128100;Dystonic disorder, MONDO:0003441 OMIM:618947,OMIM:128100,ORPHA:36899,ORPHA:256						
TPK1	2	autosomal recessive	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type) OMIM:614458	some features might be progressive					
TRIT1	2	BIALLELIC, autosomal or pseudoautosomal	developmental delay OMIM:617873	progressive?					
TUBB3	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	  Cortical dysplasia, complex, with other brain malformations 1  OMIM:614039,OMIM:600638,ORPHA:300570						
UBE3A	2	MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)	Angelman syndrome ORPHA:98794,ORPHA:411511,OMIM:105830,ORPHA:98795,ORPHA:411515,ORPHA:238446	imprinting disorders, ASO therapy already under development					
UGDH	2	autosomal recessive	Developmental and epileptic encephalopathy 84 OMIM:618792	progressive?					
VAMP1	2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spastic ataxia 1, autosomal dominant, ORPHA:251282,OMIM:108600,OMIM:618323,ORPHA:98914						
VPS11	2	BIALLELIC, autosomal or pseudoautosomal	Leukodystrophy, hypomyelinating, 12, OMIM:616683, Dystonia OMIM:619637,ORPHA:466934,OMIM:616683						
VPS16	2	autosomal dominant	"OMIM:619291 	Dystonia 30"	slowly progressive					
WDR26	2	autosomal dominant	Skraban-Deardorff syndrome OMIM:617616,ORPHA:513456	progressive?					
WDR62	2	autosomal recessive	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations ORPHA:2512,OMIM:604317	progressive?					
WDR73	2	BIALLELIC, autosomal or pseudoautosomal	Galloway-Mowat syndrome 1, ORPHA:2065,OMIM:251300,ORPHA:83472						
WDR81	2	BIALLELIC, autosomal or pseudoautosomal	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2, OMIM:610185,OMIM:617967,ORPHA:1766	progressive?					
YY1	2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Gabriele-de Vries syndrome	OMIM:617557,ORPHA:506358,ORPHA:97279"	progressive?					
ZC4H2	2	X-linked recessive	Wieacker-Wolff syndrome ORPHA:3454,OMIM:314580,OMIM:301041						
ZNF592	2		CAMOS syndrome ORPHA:83472						
AAGAB	3	autosomal dominant	Keratoderma, palmoplantar, punctate type IA, OMIM:148600,ORPHA:79501	skin disease, not neurological					
ABCA12	3	autosomal recessive	Ichthyosis, congenital, autosomal recessive 4A and 4BORPHA:313,OMIM:601277,ORPHA:79394,ORPHA:457,OMIM:242500	occasional mild neurological signs					
ABCA3	3		Surfactant metabolism dysfunction, pulmonary, 3	not neurological, death within first month					
ABCB11	3	autosomal recessive	Cholestasis, ORPHA:69665,OMIM:605479,OMIM:601847	mainly non-neurological					
ABCB4	3	autosomal recessive and autosomal dominant							
ABCB6	3	autosomal dominant	OMIM:614497,ORPHA:90044,ORPHA:241,OMIM:609153,OMIM:615402	not neurological					
ABCB7	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Anemia, sideroblastic, with ataxia, OMIM:301310	anemia					
ABCC2	3	autosomal recessive	Dubin-Johnson syndrome	no neuronal phenotype					
ABCC9	3	autosomal recessive	Intellectual disability and myopathy syndrome	phenotype not severe enough					
ABCD3	3	autosomal recessive	Bile acid synthesis defect, congenital, 5	non-neurological, progressive disorder					
ABCD4	3	BIALLELIC, autosomal or pseudoautosomal	Methylmalonic aciduria and homocystinuria, cblJ type, 614857;METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLJ TYPE; MAHCJ	phenotype not severe enough					
ABCG5	3	autosomal recessive	Sitosterolemia 2	no neurological phenotype					
ABCG8	3	autosomal recessive	Sitosterolemia 1	no neurological phenotype					
ABL1	3	autosomal dominant	Congenital heart defects and skeletal malformations syndrome OMIM:608232,ORPHA:521,OMIM:617602	congenital, mild neurological phenotype					
ACAD8	3	autosomal recessive	Isobutyryl-CoA dehydrogenase deficiency OMIM:611283,ORPHA:79159	extraneural manifestation, CNS symptoms only in few patients					
ACAD9	3	BIALLELIC, autosomal or pseudoautosomal	ACAD9 deficiency, 611126;ACYL-COA DEHYDROGENASE FAMILY MEMBER TYPE 9 DEFICIENCY	severe extraneuronal phenotype					
ACADVL	3	BIALLELIC, autosomal or pseudoautosomal	VLCAD deficiency, 201475	extraneuronal phenotype					
ACAN	3	autosomal dominant and autosomal recessive 	OMIM:608361,OMIM:165800,ORPHA:435804,ORPHA:171866,ORPHA:93283,OMIM:612813	extraneuronal phenotype					
ACAT1	3	BIALLELIC, autosomal or pseudoautosomal	Gene2Phenotype confirmed gene with ID HPO	neurological phenotype not severe enough					
ACD	3	autosomal recessive and autosomal dominant	ORPHA:3322,OMIM:616553,ORPHA:618	neurological manifestation not severe enough					
ACE	3	autosomal recessive	RENAL TUBULAR DYSGENESIS; RTD OMIM:267430	non-neurological					
ACOX2	3	autosomal recessive	Bile acid synthesis defect, congenital, 6 OMIM:617308	mild neurological phenotype					
ACP2	3	autosomal recessive	?Lysosomal acid phosphatase deficiency OMIM:200950	extraneuronal phenotype					
ACP5	3	BIALLELIC, autosomal or pseudoautosomal	Spondyloenchondrodysplasia with immune dysregulation;Spondyloenchondrodysplasia, short stature, SLE, intracranial calcification, spasticity, chilblains, autoimmune haemolytic anaemia	systemic disorder					
ACSL4	3	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Mental retardation, X-linked 63, OMIM:300387;Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome, MONDO:0010263	non-progressive mental retardation					
ACTA1	3	autosomal recessive and autosomal dominant	OMIM:255310,ORPHA:97240,OMIM:161800,ORPHA:171430,ORPHA:2020,ORPHA:171436,ORPHA:97244,ORPHA:171439,ORPHA:171433,OMIM:616852	myopathy, some neurological features					
ACTA2	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Aortic aneurysm, familial thoracic 6, 611788;Multisystemic; smooth muscle dysfunction syndrome, 613834;Moyamoya disease 5, 614042	mainly extraneuronal phenotype					
ACTC1	3	autosomal dominant	ORPHA:154,OMIM:612794,OMIM:612098,OMIM:613424,ORPHA:99103	non-neurological					
ACTG2	3	autosomal dominant	ORPHA:2604,ORPHA:2241,OMIM:155310,OMIM:619431	non-neurological					
ACTN1	3	autosomal dominant	"	Bleeding disorder, platelet-type, 15"	not neurological					
ACTN2	3	autosomal dominant	OMIM:618655,ORPHA:154,OMIM:612158,OMIM:618654	mainly heart disease					
ACTN4	3	autosomal dominant	Glomerulosclerosis, focal segmental, 1 OMIM:603278,ORPHA:656	kidney disease					
ACVR1	3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Fibrodysplasia ossificans progressiva 135100	severe extraneuronal phenotype					
ADA	3	BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency due to ADA deficiency, 102700;Adenosine deaminase deficiency, partial, 102700	no neurological phenotype					
ADAMTS10	3	BIALLELIC, autosomal or pseudoautosomal	Weill-Marchesani syndrome 1, recessive, MIM#277600	neurological phenotype not severe enough					
ADAMTS13	3	autosomal recessive	Thrombotic thrombocytopenic purpura, hereditary, OMIM:274150	neurological signs too vague, not severe enough					
ADAMTS2	3	autsosomal recessive	Ehlers-Danlos syndrome, dermatosparaxis type, OMIM:225410,ORPHA:1901	neurology: delayed motor milestones					
ADAMTS3	3	autosomal recessive	Hennekam lymphangiectasia-lymphedema syndrome 3, ORPHA:2136,OMIM:618154	mild neurological phenotype - ID					
ADAMTSL1	3	autosomal dominant	Microcephaly-facial dysmorphism-ocular anomalies-multiple congenital anomalies syndrome, ORPHA:521445	mild neurological phenotype					
ADAMTSL2	3	autosomal recessive	OMIM:231050,ORPHA:1901	mainly extraneuronal phenotype					
ADAMTSL4	3	autosomal recessive	"OMIM:225200,ORPHA:1885,OMIM:225100 Ectopia lentis, isolated, autosomal recessive, 	Ectopia lentis et pupillae"	no retinal disorder					
ADCY1	3	autosomal recessive	Deafness, autosomal recessive 44	unclear if treatable, deafness currently no administration strategy					
ADCY3	3	autosomal recessive	"OMIM:617885 	{Obesity, susceptibility to, BMIQ19}"	mild neurological phenotype					
ADCY6	3	autosomal recessive	"ORPHA:2680,OMIM:616287 	Lethal congenital contracture syndrome 8"	death within 3 months of life CAVE: if drug was available, could potentially be treated					
ADGRG2	3	x-linked	Congenital bilateral absence of vas deferens, X-linked	no neuronal phenotype					
ADGRG6	3	autosomal recessive	Lethal congenital contracture syndrome 9	non-neuronal? Affected individuals die soon after birth					
ADH1B	3	multifactorial	OMIM:103780 alcohol dependence	multifactorial disease					
ADH1C	3	autosomal dominant, multifactorial	OMIM:103780,OMIM:168600 {Parkinson disease, susceptibility to}	multifactorial disease					
ADRB1	3	autosomal dominant	OMIM:618591 [Short sleep, familial natural, 2]	not severe enough					
